,FilePos,DetectionMode,LE,Dwell,SSNR,SNR_Joy,Mode
38,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_3000ns_002_000.tif,ADF-STEM,28,3000.0,17.49073947647507,14.776354944803622,HR
39,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_3000ns_002_001.tif,ADF-STEM,28,3000.0,17.75069093763642,16.04658133670126,HR
40,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_3000ns_002_002.tif,ADF-STEM,28,3000.0,15.898551155538879,13.498335219213768,HR
41,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_3000ns_002_003.tif,ADF-STEM,28,3000.0,16.072507278006412,15.42836967035393,HR
42,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_3000ns_002_004.tif,ADF-STEM,28,3000.0,28.561625730677914,11.893761186977171,HR
43,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_3000ns_002_005.tif,ADF-STEM,28,3000.0,22.812646798085606,10.575935342322943,HR
48,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_001_000.tif,ADF-STEM,28,5000.0,28.85010510785637,26.923991687149794,HR
49,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_001_001.tif,ADF-STEM,28,5000.0,15.179548233291273,13.878674309142937,HR
50,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_001_002.tif,ADF-STEM,28,5000.0,24.621067924599533,22.577132811387784,HR
51,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_001_003.tif,ADF-STEM,28,5000.0,18.78127820483919,17.721614328424685,HR
52,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_001_004.tif,ADF-STEM,28,5000.0,25.89485038736956,23.014415408050535,HR
53,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_001_005.tif,ADF-STEM,28,5000.0,32.79610692169738,23.12264939090763,HR
54,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_002_000.tif,ADF-STEM,28,5000.0,23.221819899294566,21.761559932574023,HR
55,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_002_001.tif,ADF-STEM,28,5000.0,22.57043816226066,19.43612073920699,HR
56,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_002_002.tif,ADF-STEM,28,5000.0,18.42794742430554,15.391218012730254,HR
57,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_002_003.tif,ADF-STEM,28,5000.0,18.182043891540562,16.28281063824076,HR
58,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_002_004.tif,ADF-STEM,28,5000.0,24.33940781008984,22.236879307505845,HR
59,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_5000ns_002_005.tif,ADF-STEM,28,5000.0,15.50986514106939,13.58237656520023,HR
0,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_001_000.tif,ADF-STEM,28,10000.0,30.507995711014313,20.946243340191117,HR
1,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_10000ns_001_001.tif,ADF-STEM,28,10000.0,25.44511666000709,21.658625221642986,HR
