,DetectionMode,LE,Dwell,SSNR (normal),SSNR (horizontal split),SSNR (vertical split),SNR (Joy),"SNR (Joy, horizontal split)"
226,SE,1.5,3000.0,1.0171069994988586,1.1670098528145365,0.991489062099816,15.418577341451828,0.8005988624014777
227,SE,1.5,3000.0,1.0981098412480792,1.2549165852740265,1.0706949353220536,15.493856962743038,0.8868277426521337
228,SE,1.5,3000.0,0.7985222865917345,0.9293103367949513,0.7747467159653196,15.338093209792707,0.7025584759177158
234,SE,1.5,5000.0,2.521024506180545,3.0697773557533994,2.405770437709388,16.37661899643909,2.080217139537746
235,SE,1.5,5000.0,2.7754303405304594,3.3648543737418923,2.655074490724938,16.368464238304544,2.0605342855458755
236,SE,1.5,5000.0,1.9315831353457567,2.384637761296796,1.8395578559860648,15.877313857822287,1.475680646929372
237,SE,1.5,5000.0,3.4945787072640755,4.201804424214467,3.3568851558207777,16.828313154252825,2.6024256835645754
238,SE,1.5,5000.0,2.264915440229579,2.778423146580771,2.1570842800422527,16.268336831551025,1.9484413434202101
204,SE,1.5,10000.0,5.483473467421898,6.320020805225612,5.503348853945122,20.238247132078293,6.087102053645417
205,SE,1.5,10000.0,2.5347410147221234,2.979906573773354,2.5375219082791713,16.709396261088088,2.2404841900321575
206,SE,1.5,10000.0,3.1245286631073514,3.640275722880534,3.1229583808550343,17.198214345054808,2.7869144200692015
207,SE,1.5,10000.0,4.290475737443682,4.949348869182052,4.297442202822657,17.98981418973736,3.638404359619189
208,SE,1.5,10000.0,3.3080010803752886,3.8463805886210247,3.3118978943674917,17.193751737974335,2.767999362989125
