,DetectionMode,LE,Dwell,SSNR (normal),SSNR (horizontal split),SSNR (vertical split),SNR (Joy),"SNR (Joy, horizontal split)"
93,BSD,1.5,3000.0,0.1892769673372121,0.15011221545259346,0.2114380850995451,0.18055998153252675,0.12191758780677907
100,BSD,1.5,5000.0,0.6553751799351324,0.5562417844087302,0.7099131490006134,0.6809859974122908,0.5323292809688878
101,BSD,1.5,5000.0,0.35085910381486984,0.2803134955036194,0.38996085909346634,0.3457415192242356,0.24057909857338533
102,BSD,1.5,5000.0,0.7261531208387046,0.6478716035200374,0.7690770712228765,0.7125264948047841,0.5970365990382526
103,BSD,1.5,5000.0,0.47582337919008555,0.4007103784686996,0.5166456695080086,0.5099606362673459,0.39650387196359244
104,BSD,1.5,5000.0,0.870737768822901,0.7819994060192901,0.916987514645756,0.6984730914282159,0.5816771039787872
105,BSD,1.5,5000.0,1.942672509091317,1.7975275253139795,2.0213188621275346,1.9681007729337396,1.7516930518402904
64,BSD,1.5,10000.0,4.615407410496524,4.317311565348907,4.778614572766621,4.7263038353063935,4.268609502986598
65,BSD,1.5,10000.0,3.2132683291663215,2.995049579780266,3.329148912481972,2.3164064865489284,2.0608545521068113
66,BSD,1.5,10000.0,4.8397797861190845,4.541118048548902,5.000378959651624,3.1978934494772298,2.878860036931079
67,BSD,1.5,10000.0,3.7076997575282786,3.4708144452632483,3.836930590458979,3.679499486664151,3.324036607472038
68,BSD,1.5,10000.0,0.8968794853770294,0.7925530284707833,0.9533583856496772,0.8629832729102903,0.7120601177229787
69,BSD,1.5,10000.0,1.9070252305375606,1.7533819476032955,1.9918665722934281,1.832042564966167,1.609408322969777
125,BSD-SB,1.5,100.0,-0.13917860312075767,-0.32632713138977987,-0.007549532034000717,0.011169061064093676,-0.32599163191850195
126,BSD-SB,1.5,100.0,-0.13860778676123842,-0.32653685415761324,0.005512589325738282,0.02701311756138854,-0.3262078363740904
127,BSD-SB,1.5,100.0,-0.13838789876608304,-0.32640695014737997,0.008612142296106406,0.03018446711430386,-0.32610951993289927
128,BSD-SB,1.5,100.0,-0.13761081641576686,-0.3250984273579391,0.00299303795093786,0.025514895291213074,-0.32482310069078235
129,BSD-SB,1.5,100.0,-0.13833859963556627,-0.3251568066228505,-0.0006487267058714608,0.020699441700092813,-0.324837142006723
130,BSD-SB,1.5,100.0,-0.13994487181772886,-0.3277091239736857,-0.0011180765222870148,0.019048464968980286,-0.3273546579402778
131,BSD-SB,1.5,100.0,-0.1364045480076855,-0.3228758988300639,0.006355070939486618,0.02682173860363136,-0.32253723335511547
132,BSD-SB,1.5,200.0,-0.031231393990160672,-0.0904897981527068,0.0011983397173930266,0.001954551051889806,-0.08896200797111108
133,BSD-SB,1.5,200.0,-0.029392851525012365,-0.08980783668316417,0.002537203378770392,0.00297412902911697,-0.08866083413977413
134,BSD-SB,1.5,200.0,-0.025778710024831286,-0.08625902504395316,0.007162911360284352,0.007612600463885897,-0.08513551827033164
135,BSD-SB,1.5,200.0,-0.033932757923609946,-0.09272390516807433,-0.004678731839565853,-0.004051901046121436,-0.09147997804690614
136,BSD-SB,1.5,200.0,-0.02537108887598341,-0.08434572978981353,0.006269717503726846,0.0069207687452144985,-0.08290910099528011
137,BSD-SB,1.5,200.0,-0.026626129797677395,-0.08717753524138622,0.006373093213460912,0.0065084489759628895,-0.08617380203103436
145,BSD-SB,1.5,300.0,-0.003848686120771827,-0.06729015111110209,0.03205580700858268,0.03044414846471299,-0.067872551268698
146,BSD-SB,1.5,300.0,-0.001996492450942189,-0.07146956346464589,0.037238791472345545,0.03357748745034187,-0.07392685339966422
